"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"H2256","034","Local CCP","HMO","Yes","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Value Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","1861"
"H2256","036","Local CCP","HMO","Yes","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Basic Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","5148"
"H2256","039","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Prime No Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","73"
"H2256","040","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Value No Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","182"
"H2256","041","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Basic No Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","337"
"H2256","042","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Basic No Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","157"
"H2256","801","Local CCP","HMO","Yes","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","8153"
"H2256","802","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO (HMO)","Tufts Health Plan, Inc","07/01/1994","645"
"H2256","803","Local CCP","HMO","Yes","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO Rx (HMO)","Tufts Health Plan, Inc","07/01/1994","*"
"H2256","808","Local CCP","HMO","No","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Tufts Medicare Preferred HMO (HMO)","Tufts Health Plan, Inc","07/01/1994","4542"
"H2261","005","Local CCP","HMO","Yes","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue PlusRx (HMO)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","2582"
"H2261","022","Local CCP","HMO","Yes","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue ValueRx (HMO)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","5228"
"H2261","023","Local CCP","HMOPOS","Yes","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue FlexRx (HMO-POS)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","2957"
"H2261","024","Local CCP","HMO","Yes","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue SaverRx (HMO)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","1612"
"H2261","801","Local CCP","HMO","Yes","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue (HMO)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","1365"
"H2261","809","Local CCP","HMO","No","BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","Medicare HMO Blue (HMO)","Blue Cross and Blue Shield of Massachusetts, Inc.","01/01/1996","*"
"H2288","001","Local CCP","HMO","Yes","BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK","Bright Health","Bright Advantage (HMO)","Bright Health, Inc.","01/01/2019","276"
"H2288","002","Local CCP","HMO","Yes","BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK","Bright Health","Bright Advantage Plus (HMO)","Bright Health, Inc.","01/01/2019","59"
"H2288","003","Local CCP","HMO","Yes","BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK","Bright Health","Bright Advantage Special Care (HMO SNP)","Bright Health, Inc.","01/01/2019","18"
"H2288","005","Local CCP","HMO","Yes","BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK","Bright Health","Bright Advantage Assist (HMO)","Bright Health, Inc.","01/01/2019","19"
"H2292","001","Local CCP","Local PPO","Yes","OXFORD HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Nursing Home Plan 1 (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","4127"
"H2292","002","Local CCP","Local PPO","Yes","OXFORD HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Nursing Home Plan 1 (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","5619"
"H2318","001","National PACE","National PACE","Yes","PACE SOUTHEAST MICHIGAN","PACE Southeast Michigan","PACE Southeast Michigan (PACE)","Henry Ford Health System","11/01/2003","1045"
"H2318","002","National PACE","National PACE","Yes","PACE SOUTHEAST MICHIGAN","PACE Southeast Michigan","PACE Southeast Michigan (PACE)","Henry Ford Health System","11/01/2003","*"
"H2320","007","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare (HMO-POS)","Spectrum Health System","07/01/2005","2960"
"H2320","008","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare (HMO-POS)","Spectrum Health System","07/01/2005","1284"
"H2320","011","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Value (HMO-POS)","Spectrum Health System","07/01/2005","10352"
"H2320","012","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Value (HMO-POS)","Spectrum Health System","07/01/2005","2490"
"H2320","013","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare (HMO-POS)","Spectrum Health System","07/01/2005","12225"
"H2320","015","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Value (HMO-POS)","Spectrum Health System","07/01/2005","44042"
"H2320","016","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare (HMO-POS)","Spectrum Health System","07/01/2005","478"
"H2320","018","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Value (HMO-POS)","Spectrum Health System","07/01/2005","1984"
"H2320","019","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare (HMO-POS)","Spectrum Health System","07/01/2005","844"
"H2320","021","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Value (HMO-POS)","Spectrum Health System","07/01/2005","3036"
"H2320","022","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare Key (HMO-POS)","Spectrum Health System","07/01/2005","18991"
"H2320","802","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG Non-Calendar Year (HMO-POS)","Spectrum Health System","07/01/2005","434"
"H2320","803","Local CCP","HMOPOS","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG Calendar Year (HMO-POS)","Spectrum Health System","07/01/2005","19703"
"H2320","804","Local CCP","HMO","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG HMO w PD Non-Cal Year (HMO)","Spectrum Health System","07/01/2005","*"
"H2320","805","Local CCP","HMO","Yes","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG HMO w PD Cal Year (HMO)","Spectrum Health System","07/01/2005","561"
"H2320","810","Local CCP","HMO","No","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG HMO Cal Year (HMO) (HMO)","Spectrum Health System","07/01/2005","*"
"H2320","811","Local CCP","HMO","No","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare EG HMO Non-Cal Year (HMO) (HMO)","Spectrum Health System","07/01/2005","*"
"H2320","812","Local CCP","HMOPOS","No","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare HMO-POS No RX EGWP Calendar (HMO-POS)","Spectrum Health System","07/01/2005","*"
"H2320","813","Local CCP","HMOPOS","No","PRIORITY HEALTH","Priority Health Medicare","PriorityMedicare HMO-POS No RX EGWP Non-Calendar (HMO-POS)","Spectrum Health System","07/01/2005","*"
"H2322","004","Local CCP","Local PPO","Yes","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Option 4 (PPO)","Henry Ford Health System","08/01/2005","1576"
"H2322","008","Local CCP","Local PPO","Yes","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Option 3 (PPO)","Henry Ford Health System","08/01/2005","1203"
"H2322","011","Local CCP","Local PPO","Yes","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Option 1 (PPO)","Henry Ford Health System","08/01/2005","1472"
"H2322","012","Local CCP","Local PPO","Yes","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Option 2 (PPO)","Henry Ford Health System","08/01/2005","403"
"H2322","801","Local CCP","Local PPO","No","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Group (PPO)","Henry Ford Health System","08/01/2005","*"
"H2322","803","Local CCP","Local PPO","Yes","ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","HAP Senior Plus Group (PPO)","Henry Ford Health System","08/01/2005","11"
"H2334","001","Local CCP","Local PPO","Yes","EON HEALTH, INC. (SC)","Clear Spring Health","EON GOLD (PPO SNP)","Delaware Life Insurance Company","01/01/2017","*"
"H2334","003","Local CCP","Local PPO","Yes","EON HEALTH, INC. (SC)","Clear Spring Health","EON CHOICE (PPO)","Delaware Life Insurance Company","01/01/2017","38"
"H2354","015","Local CCP","HMO","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus (HMO)","Henry Ford Health System","04/01/1997","9681"
"H2354","018","Local CCP","HMO","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Henry Ford Tiered Access (HMO)","Henry Ford Health System","04/01/1997","10804"
"H2354","019","Local CCP","HMO","No","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Medical Only (HMO)","Henry Ford Health System","04/01/1997","584"
"H2354","020","Local CCP","HMOPOS","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Option 1 (HMO-POS)","Henry Ford Health System","04/01/1997","1610"
"H2354","021","Local CCP","HMOPOS","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Option 2 (HMO-POS)","Henry Ford Health System","04/01/1997","8886"
"H2354","022","Local CCP","HMOPOS","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Option 3 (HMO-POS)","Henry Ford Health System","04/01/1997","823"
"H2354","024","Local CCP","HMO","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Primary Choice Medicare (HMO)","Henry Ford Health System","04/01/1997","659"
"H2354","025","Local CCP","HMO","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Empowered Duals (HMO SNP)","Henry Ford Health System","04/01/1997","50"
"H2354","801","Local CCP","HMO","No","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Group (HMO)","Henry Ford Health System","04/01/1997","26998"
"H2354","802","Local CCP","HMOPOS","Yes","HEALTH ALLIANCE PLAN OF MICHIGAN","HAP Senior Plus","HAP Senior Plus Group (HMO-POS)","Henry Ford Health System","04/01/1997","2341"
"H2386","001","National PACE","National PACE","Yes","APPALACHIAN AGENCY FOR SENIOR CITIZENS, INC.","Appalachian Agency for Senior Citizens, Inc,","AllCARE for Seniors - Duals (PACE)","Appalachian Agency for Senior Citizens, Inc.","05/01/2008","92"
"H2386","002","National PACE","National PACE","Yes","APPALACHIAN AGENCY FOR SENIOR CITIZENS, INC.","Appalachian Agency for Senior Citizens, Inc,","AllCARE for Seniors - Medicare only (PACE)","Appalachian Agency for Senior Citizens, Inc.","05/01/2008","*"
"H2392","001","Local CCP","HMO","Yes","KANSAS SUPERIOR SELECT, INC.","Kansas Health Advantage","Kansas Health Advantage (HMO SNP)","Kansas Superior Select","01/01/2018","326"
"H2400","001","Local CCP","HMO","Yes","SIGNATURE ADVANTAGE, LLC","Signature Advantage (HMO SNP)","Signature Advantage (HMO SNP)","SA Plan, LLC","01/01/2016","239"
"H2406","001","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Nursing Home Plan 1 (PPO SNP)","UnitedHealth Group, Inc.","06/01/2001","2457"
"H2406","008","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","6779"
"H2406","009","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","19042"
"H2406","010","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","10893"
"H2406","011","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","24457"
"H2406","012","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","1030"
"H2406","013","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","11175"
"H2406","014","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","1737"
"H2406","015","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","1643"
"H2406","016","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","4342"
"H2406","017","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","4780"
"H2406","018","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","11734"
"H2406","019","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","AARP MedicareComplete Choice (PPO)","UnitedHealth Group, Inc.","06/01/2001","1866"
"H2406","020","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Sync (PPO)","UnitedHealth Group, Inc.","06/01/2001","115"
"H2406","805","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","2919"
"H2406","806","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","807","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","808","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","809","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","810","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","811","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","812","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","813","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","814","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","815","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","816","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","817","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","818","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","819","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","820","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","821","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","822","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","823","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","824","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","825","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","826","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","827","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","828","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","829","Local CCP","Local PPO","No","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","830","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","831","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","832","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","833","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2406","834","Local CCP","Local PPO","Yes","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (PPO)","UnitedHealth Group, Inc.","06/01/2001","*"
"H2416","001","Local CCP","HMO","Yes","PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE","PrimeWest Health","PrimeWest Senior Health Complete (HMO SNP)","PrimeWest Rural MN Health Care Access Initiative","07/01/2005","1960"
"H2417","001","Local CCP","HMO","Yes","ITASCA MEDICAL CARE","Itasca Medical Care/IMCare Classic","IMCare Classic (HMO SNP)","Itasca County","06/01/2005","441"
"H2419","001","Local CCP","HMO","Yes","SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","SeniorCare Complete (HMO SNP)","South Country Health Alliance","08/01/2005","1813"
"H2422","002","Local CCP","HMO","Yes","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners Minnesota Senior Health Options (HMO SNP)","HealthPartners, Inc.","05/01/2005","3704"
"H2425","001","Local CCP","HMO","Yes","BLUE PLUS","Blue Plus","SecureBlue (HMO SNP)","Aware Integrated, Inc.","09/01/2005","8855"
"H2446","001","Local CCP","HMOPOS","Yes","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Blue Cross Strive Medicare Advantage Choice (HMO-POS)","Aware Integrated, Inc.","01/01/2019","133"
"H2446","002","Local CCP","HMOPOS","Yes","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Blue Cross Strive Medicare Advantage Complete (HMO-POS)","Aware Integrated, Inc.","01/01/2019","71"
"H2450","001","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Basic w/Rx 2 (Cost)","Medica Holding Company","01/01/1990","1609"
"H2450","002","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Enhanced w/Rx 2 (Cost)","Medica Holding Company","01/01/1990","1269"
"H2450","007","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Thrift w/Rx (Cost)","Medica Holding Company","01/01/1990","352"
"H2450","016","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Basic w/Rx (Cost)","Medica Holding Company","01/01/1990","3096"
"H2450","017","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Enhanced w/Rx (Cost)","Medica Holding Company","01/01/1990","761"
"H2450","022","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Value w/Rx (Cost)","Medica Holding Company","01/01/1990","468"
"H2450","030","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Thrift (Cost)","Medica Holding Company","01/01/1990","574"
"H2450","031","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Value (Cost)","Medica Holding Company","01/01/1990","481"
"H2450","032","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Basic (Cost)","Medica Holding Company","01/01/1990","3094"
"H2450","033","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Enhanced (Cost)","Medica Holding Company","01/01/1990","1354"
"H2450","034","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Core (Cost)","Medica Holding Company","01/01/1990","26198"
"H2450","035","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Core w/Rx (Cost)","Medica Holding Company","01/01/1990","4302"
"H2450","036","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Premier (Cost)","Medica Holding Company","01/01/1990","9997"
"H2450","037","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Premier w/Rx (Cost)","Medica Holding Company","01/01/1990","1082"
"H2450","038","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Focus (Cost)","Medica Holding Company","01/01/1990","13018"
"H2450","039","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Focus w/Rx (Cost)","Medica Holding Company","01/01/1990","6901"
"H2450","040","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Total (Cost)","Medica Holding Company","01/01/1990","2421"
"H2450","041","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Total w/Rx (Cost)","Medica Holding Company","01/01/1990","1805"
"H2450","042","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Premier (Cost)","Medica Holding Company","01/01/1990","13"
"H2450","043","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Premier (Cost)","Medica Holding Company","01/01/1990","14"
"H2450","044","1876 Cost","1876 Cost","No","MEDICA INSURANCE COMPANY","Medica","Medica Prime Solution Standard (Cost)","Medica Holding Company","01/01/1990","21"
"H2450","801","1876 Cost","1876 Cost","Yes","MEDICA INSURANCE COMPANY","Medica","Medica Group Prime Solution w/Rx (Cost)","Medica Holding Company","01/01/1990","1408"
