Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
H2174,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Medicare Advantage,Trillium Advantage Dual (HMO SNP),Centene Corporation,01/01/2007
H2185,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"LIFEWORKS ADVANTAGE, LLC",LifeWorks Advantage,LifeWorks Advantage I-SNP (HMO SNP),"MFA Lifeworks, LLC",01/01/2017
H2218,1,National PACE,National PACE,Yes,No,No,"HARBOR HEALTH SERVICES, INC.","Elder Service Plan of Harbor Health Services, Inc","Harbor Health Elder Service Plan, Dual Eligible (PACE)","Harbor Health Services, Inc.",11/01/2002
H2218,2,National PACE,National PACE,Yes,No,No,"HARBOR HEALTH SERVICES, INC.","Elder Service Plan of Harbor Health Services, Inc","Harbor Health Elder Service Plan, Medicare only (PACE)","Harbor Health Services, Inc.",11/01/2002
H2219,1,National PACE,National PACE,Yes,No,No,FALLON COMMUNITY HEALTH PLAN,Summit ElderCare or Fallon Health,Summit ElderCare (PACE),Fallon Community Health Plan,11/01/2002
H2219,2,National PACE,National PACE,Yes,No,No,FALLON COMMUNITY HEALTH PLAN,Summit ElderCare or Fallon Health,Summit ElderCare (PACE),Fallon Community Health Plan,11/01/2002
H2220,1,National PACE,National PACE,Yes,No,No,"UPHAMS CORNER HEALTH COMMITTEE, INC.","Uphams Corner Health Committee, Inc.",Upham's Corner Health Committee (PACE),"Uphams Corner Health Committee, Inc.",11/01/2002
H2220,2,National PACE,National PACE,Yes,No,No,"UPHAMS CORNER HEALTH COMMITTEE, INC.","Uphams Corner Health Committee, Inc.",Uphams Corner Health Committee (PACE),"Uphams Corner Health Committee, Inc.",11/01/2002
H2221,1,National PACE,National PACE,Yes,No,No,CAMBRIDGE PUBLIC HEALTH COMMISSION,Elder Service Plan of Cambridge Health Alliance,Cambridge Public Health Commission (PACE),Cambridge Health Alliance,11/01/2002
H2221,2,National PACE,National PACE,Yes,No,No,CAMBRIDGE PUBLIC HEALTH COMMISSION,Elder Service Plan of Cambridge Health Alliance,Cambridge Public Health Commission (PACE),Cambridge Health Alliance,11/01/2002
H2222,2,National PACE,National PACE,Yes,No,No,"ELEMENT CARE, INC.","Element Care, Inc",Element Care (PACE),"Element Care, Inc.",11/01/2003
H2222,3,National PACE,National PACE,Yes,No,No,"ELEMENT CARE, INC.","Element Care, Inc",Element Care (PACE),"Element Care, Inc.",11/01/2003
H2223,1,National PACE,National PACE,Yes,No,No,ELDER SVC PLN/E BOSTON HEALTH CENTER,Neighborhood PACE,East Boston Elder Service Plan (PACE),Elder Svc Pln/E Boston Health Center,11/01/2003
H2223,2,National PACE,National PACE,Yes,No,No,ELDER SVC PLN/E BOSTON HEALTH CENTER,Neighborhood PACE,East Boston Elder Service Plan (PACE),Elder Svc Pln/E Boston Health Center,11/01/2003
H2224,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,Senior Whole Health (HMO SNP),"Magellan Health, Inc.",08/01/2004
H2224,3,Local CCP,HMO/HMOPOS,Yes,Yes,No,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,Senior Whole Health NHC (HMO SNP),"Magellan Health, Inc.",08/01/2004
H2225,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Senior Care Options Program (HMO SNP),"Commonwealth Care Alliance, Inc.",06/01/2004
H2226,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Senior Care Options (HMO SNP),"UnitedHealth Group, Inc.",03/01/2004
H2228,1,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,2,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,10,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,11,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Assisted Living Plan (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,13,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,16,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,17,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Assisted Living Plan 1 (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,18,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,19,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,20,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Focus (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,21,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,22,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,23,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,24,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 1 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,25,Local CCP,Local PPO,No,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Essential (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,29,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,30,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 1 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,31,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,32,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,35,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 1 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,36,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,37,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,39,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Assisted Living Plan (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,41,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,42,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,43,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,44,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,45,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,46,Local CCP,Local PPO,Yes,Yes,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,47,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,48,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,49,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,64,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,65,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,66,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,67,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,68,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,71,Local CCP,Local PPO,Yes,No,No,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,AARP MedicareComplete Choice (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,805,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,807,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,808,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,809,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,810,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,811,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,812,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,813,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,814,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,815,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,816,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,817,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,818,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,819,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,820,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,821,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,822,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,823,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,824,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,825,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,826,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,827,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,828,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,829,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,830,Local CCP,Local PPO,No,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,831,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,832,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,833,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,834,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2228,835,Local CCP,Local PPO,Yes,No,Yes,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare Group Medicare Advantage (PPO),"UnitedHealth Group, Inc.",01/01/2005
H2230,2,Local CCP,Local PPO,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare PPO Blue PlusRx (PPO),"Blue Cross and Blue Shield of Massachusetts, Inc.",09/01/2005
H2230,17,Local CCP,Local PPO,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare PPO Blue SaverRx (PPO),"Blue Cross and Blue Shield of Massachusetts, Inc.",09/01/2005
H2230,18,Local CCP,Local PPO,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare PPO Blue ValueRx (PPO),"Blue Cross and Blue Shield of Massachusetts, Inc.",09/01/2005
H2230,801,Local CCP,Local PPO,Yes,No,Yes,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare PPO Blue (PPO),"Blue Cross and Blue Shield of Massachusetts, Inc.",09/01/2005
H2230,809,Local CCP,Local PPO,No,No,Yes,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare PPO Blue (PPO),"Blue Cross and Blue Shield of Massachusetts, Inc.",09/01/2005
H2235,1,Local CCP,HMO/HMOPOS,Yes,No,No,"BAYCARE SELECT HEALTH PLANS, INC.",BayCare Health Plans,BayCarePlus Complete (HMO),"BayCare Health System, Inc.",01/01/2019
H2235,2,Local CCP,HMO/HMOPOS,Yes,No,No,"BAYCARE SELECT HEALTH PLANS, INC.",BayCare Health Plans,BayCarePlus Rewards (HMO),"BayCare Health System, Inc.",01/01/2019
H2235,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"BAYCARE SELECT HEALTH PLANS, INC.",BayCare Health Plans,BayCarePlus EGWP MAPD calendar (HMO),"BayCare Health System, Inc.",01/01/2019
H2235,802,Local CCP,HMO/HMOPOS,Yes,No,Yes,"BAYCARE SELECT HEALTH PLANS, INC.",BayCare Health Plans,BayCarePlus EGWP MAPD non calendar (HMO),"BayCare Health System, Inc.",01/01/2019
H2237,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,iCare Medicare Plan (HMO SNP),Independent Care Health Plan Inc.,01/01/2007
H2237,7,Local CCP,HMO/HMOPOS,Yes,Yes,No,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,iCare Family Care Partnership (HMO SNP),Independent Care Health Plan Inc.,01/01/2007
H2237,9,Local CCP,HMO/HMOPOS,Yes,Yes,No,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Aurora CompleteCare (HMO SNP),Independent Care Health Plan Inc.,01/01/2007
H2237,10,Local CCP,HMO/HMOPOS,Yes,Yes,No,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Lakeland Care +Health (HMO SNP),Independent Care Health Plan Inc.,01/01/2007
H2241,7,Local CCP,HMO/HMOPOS,Yes,No,No,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State,Golden State (HMO),Golden State Medicare Health Plan,01/01/2010
H2241,9,Local CCP,HMO/HMOPOS,Yes,No,No,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State,Golden State (HMO),Golden State Medicare Health Plan,01/01/2010
H2247,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE COMMUNITY PLAN, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",01/01/2018
H2256,1,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Prime Rx Plus (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,15,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Prime Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,16,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Prime No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,18,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Value Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,19,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Value No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,26,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Basic Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,28,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Saver Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,29,Local CCP,HMO/HMOPOS,Yes,Yes,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Health Plan Senior Care Options (HMO SNP),"Tufts Health Plan, Inc",07/01/1994
H2256,33,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Prime Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,34,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Value Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,36,Local CCP,HMO/HMOPOS,Yes,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Basic Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,39,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Prime No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,40,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Value No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,41,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Basic No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,42,Local CCP,HMO/HMOPOS,No,No,No,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Basic No Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,802,Local CCP,HMO/HMOPOS,No,No,Yes,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO Rx (HMO),"Tufts Health Plan, Inc",07/01/1994
H2256,808,Local CCP,HMO/HMOPOS,No,No,Yes,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan,Tufts Medicare Preferred HMO (HMO),"Tufts Health Plan, Inc",07/01/1994
H2261,5,Local CCP,HMO/HMOPOS,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare HMO Blue PlusRx (HMO),"Blue Cross and Blue Shield of Massachusetts, Inc.",01/01/1996
H2261,22,Local CCP,HMO/HMOPOS,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare HMO Blue ValueRx (HMO),"Blue Cross and Blue Shield of Massachusetts, Inc.",01/01/1996
H2261,23,Local CCP,HMO/HMOPOS,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare HMO Blue FlexRx (HMO-POS),"Blue Cross and Blue Shield of Massachusetts, Inc.",01/01/1996
H2261,24,Local CCP,HMO/HMOPOS,Yes,No,No,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,Medicare HMO Blue SaverRx (HMO),"Blue Cross and Blue Shield of Massachusetts, Inc.",01/01/1996
