"","3030-Angiocardiography","3040-Audiology","3050-Bacteriology and Microbiology","3070-Birthing Center","3120-Cardiac Catheterization Laboratory","3140-Cardiology","3180-Chemistry","3190-Chemotherapy","3220-Circumcision","3230-CAT Scan","3240-Cytology","3260-Echocardiography","3280-EKG and EEG","3290-Electromyography","3320-Electroshock Therapy","3340-Gastro Intestinal Services","3350-Hematology","3360-Histology","3370-Holter Monitor","3380-Immunology","3390-Laboratory - Clinical","3420-Laboratory - Pathological","3430-Magnetic Resonance Imaging (MRI)","3440-Mammography","3450-Nuclear Medicine-Diagnostic","3480-Oncology","3540-Prosthetic Devices","3550-Psychiatric/Psychological Services","3560-Pulmonary Function Testing","3620-Stress Test","3630-Ultra Sound","3640-Urology","3650-Vascular Lab","3700-Operating Room","3800-Recovery Room","3900-Delivery Room & Labor Room","4000-Anesthesiology","4100-Radiology - Diagnostic","4200-Radiology-Therapeutic","4600-Whole Blood & Packed Red Blood Cells","4700-Blood Storing, Processing, & Trans.","4800-Intravenous Therapy","4900-Respiratory Therapy","5000-Physical Therapy","5100-Occupational Therapy","5200-Speech Pathology","5500-Med Supplies Charged to Patient","5600-Drugs Charged to Patients","5700-Renal Dialysis","5800-ASC","6000-Clinic","6100-Emergency","6201-Observation Beds (Distinct Part)","8600-Other Organ Acquisition (Specify)","PCCR_OR_and_Anesth_Costs"
"Complicated peptic ulcer w CC ",0,0,285,0,8076.54,1951,1785.25,0,0,3875.09666666667,228.64,2120.855,291.443333333333,0,0,3661.55666666667,543.125,194.59,0,285.75,1542.4325,808.491538461538,0,0,6715,0,0,0,0,0,647.686666666667,0,0,2509.99666666667,851.236666666667,0,640.6,845.493529411765,0,0,2392.35666666667,861.666666666667,352.923333333333,675.23,318,1910,855.584444444444,1137.6876,0,0,137,1809.88318181818,1099,0,3150.59666666667
"Complicated peptic ulcer w MCC ",0,0,0,0,0,1951,939.375,0,0,2704,0,0,253.333333333333,0,0,0,318.75,0,0,0,1900.83714285714,165.25,0,0,0,0,0,0,1680,0,716.5,0,0,1106.25,631.25,0,0,879.666666666667,0,0,1458,380.833333333333,0,839.5,456,0,616.088333333333,2659.50166666667,0,0,0,1298.6,0,0,1106.25
"Complicated peptic ulcer w/o CC/MCC ",0,0,0,0,0,0,0,0,0,3561.486,0,0,307.886666666667,0,0,1700.3575,0,0,0,0,978.367272727273,644.693333333333,2958,0,0,0,0,0,0,0,598.595,0,0,4112.975,967.166666666667,0,505,881.146666666667,0,0,0,250,358.74,0,0,0,403.1975,822.486,0,0,0,2386.651,423,0,4617.975
"Complications of treatment w CC ....... ",0,0,560.75,0,0,0,517.888888888889,0,0,5941.77571428571,0,2312.17,169.382,0,0,5494.58,460.321428571429,0,0,989.5,2175.72461538462,438.12,6566.44333333333,0,0,0,0,0,417,0,363.81,0,1546.525,4435.18136363636,1426.12428571429,0,1046.822,541.032608695652,0,0,3925.94166666667,535.25,565.708888888889,1418.865,0,965.63,1027.74181818182,4217.76075,0,0,152,1979.06433333333,1156.218,0,5482.00336363636
"Complications of treatment w MCC .... ",0,0,809.083333333333,0,0,657.58,1020.5625,0,0,5363.455,294.5,1881.752,823.8775,0,0,1899.27,238.8125,0,0,0,2932.28896551724,913.268333333333,7122.08333333333,0,2190.72,0,0,0,557.52,0,819.921428571429,0,923.705,4270.3755,1119.826,0,900.433333333333,1113.19684210526,0,0,1147.298,588.531428571429,1062.86,693.763333333333,642.32,1367.15666666667,1084.95055555556,3135.56516129032,3134,0,284.32,2836.52818181818,1259.54666666667,0,5170.80883333333
"Complications of treatment w/o CC/ MCC",0,0,992,0,0,0,968,0,0,2921.91125,0,2312.17,145.56,0,0,0,284,0,0,0,877.484782608696,0,0,0,0,0,0,0,235,0,807.46,0,809.35,3162.99583333333,1314.658,0,965.446666666667,542.204545454545,0,0,2064.4,566.5,932.04,515.143333333333,324,0,747.730909090909,826.276,0,0,181.333333333333,2107.61684210526,503.03,0,4128.4425
"Concussion w CC",0,0,259,0,0,1899,290.5,0,0,5057.75444444444,0,2138.76,2910.35666666667,0,0,0,0,0,0,274,1051.30555555556,0,5277.2,0,0,0,0,0,0,0,582.13,0,1263,0,0,0,1305.15,680.742857142857,0,0,0,1858,0,792.33,527.055,0,500.605,808.8975,0,0,177,1639.258,1843.75,0,1305.15
"Concussion w MCC",0,0,0,0,0,0,0,0,0,11844.945,0,2270.05,364.5,0,0,0,0,0,0,0,1552.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853.425,0,0,0,0,256.86,449.555,645.08,0,0,615.865,0,0,0,7504.91,541.33,0,0
"Concussion w/o CC/MCC",0,0,0,0,0,0,0,0,0,9818.925,0,0,648.903333333333,0,0,0,0,0,0,0,1237.2625,0,3026,0,0,0,0,0,0,0,814.13,0,0,0,0,0,0,1055.66,0,0,0,1108,1151.3,264,0,0,0,1788.395,0,0,0,2244.15,1264.5,0,0
"Connective tissue disorders w CC",0,0,209,0,0,1951,2127,0,0,2334.368,0,3103.97,457.13,0,0,0,460,0,0,0,2336.36470588235,1244.0775,9188.75,0,7667.7,0,0,0,660,0,950.813333333333,0,1389.05,4007.6175,1226.155,0,1118.18,1061.15153846154,0,0,1174,527.613333333333,13027.66,708.445714285714,562.48,0,1126.21428571429,4247.86066666667,0,3322.28,266,2121.65923076923,1022.11,0,5125.7975
"Connective tissue disorders w MCC",0,0,474.875,0,0,2670.75,636.625,0,0,3363.6975,367.32,2528.59,755.92,1878.96,0,1970,209.5,0,0,953.5,6416.91545454545,1176.675,12588.51,0,2671.73,0,0,0,310.02,0,1546.81428571429,0,1706.45,6316.87666666667,0,0,0,740.641818181818,0,0,52392.266,946.083333333333,2258.466,1211.756,839.07,0,565.282,9195.68666666667,8458.665,0,196,2150.35363636364,0,0,6316.87666666667
"Connective tissue disorders w/o CC/ MCC",0,0,0,0,0,0,253,0,0,4071.86666666667,0,3837.52,159,0,0,0,0,0,0,129,1860.64909090909,110.2,6686,0,0,0,0,0,132,0,573.4,0,0,392.08,549.7,0,351.63,688.63,0,0,1039.4,0,0,388.805,1106.5,0,160.1,1410.71142857143,0,0,0,1963.92142857143,0,0,743.71
"Coronary bypass w cardiac cath w MCC",0,0,0,0,10014.59,6553.42888888889,0,0,0,5002.00272727273,0,2534.6312,515.360363636364,0,0,0,0,0,0,0,4827.56428571429,136.99,3451,0,4836,0,106.14,0,208.425,188,619.28,0,1484.81619047619,20591.3189285714,429.108571428571,0,3578.9625,1568.10196428571,0,0,4320.8812,0,2868.766,885.861111111111,834.977142857143,1307.544,2989.55732142857,5523.84839285714,3007.775,5494.54,196,2831.04823529412,453.214285714286,0,24170.2814285714
"Coronary bypass w cardiac cath w/o MCC",0,0,0,0,10468.1142372881,10509.8066666667,0,0,0,2842.23666666667,0,2267.95958333333,252,0,0,0,0,0,539.89,0,3854.3293220339,0,3451,0,5065,0,0,0,182.06,238,675.74,0,1247.85888888889,19029.9006779661,497.514285714286,0,3358.16220338983,1138.25779661017,0,0,3182.4975,0,1996.91754385965,696.491428571429,717.47,804.93,2212.21813559322,4345.39288135593,0,0,194.666666666667,2763.11772727273,687.535,0,22388.0628813559
"Coronary bypass w PTCA w MCC",0,0,0,0,12434.9183333333,20458.125,0,0,0,6323.13,0,2006.906,269.666666666667,0,0,0,0,0,0,0,5203.135,1506.54,0,0,0,0,0,0,0,0,0,0,815,20863.2966666667,0,0,3741.90833333333,1469.99,0,0,2531.65666666667,0,2052.314,1014.172,515.35,637.42,3980.625,6702.48833333333,0,0,0,2890.955,423,0,24605.205
"Coronary bypass w PTCA w/o MCC",0,0,0,0,9743.402,14580.47,0,0,0,0,0,2269.8325,291.2,0,0,0,0,0,0,0,3570.152,0,0,0,0,0,0,0,112.46,0,0,0,0,19652.564,0,0,3443.538,1261.432,0,0,5095.45,0,1762.53,663.596666666667,468.5,0,4186.746,5764.794,0,0,0,3127.35333333333,0,0,23096.102
"Coronary bypass w/o cardiac cath w MCC",0,0,0,0,10082.43,2009.6325,0,0,0,5890.342,0,2641.71722222222,211.37037037037,0,0,0,0,0,0,0,2815.12375,136.99,5539.28666666667,0,0,0,0,0,0,0,764.38,0,1220.4,20259.6846428571,549.7,0,3604.53946428571,1415.10642857143,0,0,2622.6785,0,3368.48436363636,991.730303030303,575.238,1205.065,2177.745,4821.34107142857,1357.36,0,0,2401.65,0,0,23864.2241071429
"Coronary bypass w/o cardiac cath w/o MCC",0,0,0,0,11594.79,0,0,0,0,3336.68,0,2112.701,191.648648648649,0,0,0,0,0,1033.8,0,1888.95146666667,296.2,0,0,0,0,0,0,0,0,0,0,1208.28571428571,21125.2961333333,978.29,0,3734.79026666667,1054.34746666667,0,0,1818.22363636364,0,1888.27513513514,821.067297297297,629.085,779.01,1727.938,3343.4096,0,0,195.333333333333,4211.2,0,0,24860.0864
"Cranial & peripheral nerve disorders w MCC",0,0,0,0,0,1899,0,0,0,3032.0825,0,1423.965,2102.31,2774.27,0,0,0,0,0,0,4207.88923076923,477.12,4717.162,0,11150,0,0,0,737.505,966,800,0,1405.66666666667,1642.43,0,0,0,895.48625,0,0,548.58,610.5,2004.28333333333,2080.478,1249.48833333333,630.92,3558.562,20721.5233333333,1250.38,0,0,3380.02444444444,2608.5,0,1642.43
"Cranial & peripheral nerve disorders w/o MCC",0,0,751,0,0,1925,1449.67857142857,0,0,2758.08615384615,0,1907.8275,497.91,2376.2425,0,1359,420.916666666667,0,0,200,1520.52194444444,528.11,5303.4364,0,992.22,0,0,0,342.333333333333,0,787.814,0,1126.847,1307.1325,866.39,0,713.76,617.727027027027,0,0,0,430.1875,1630.47083333333,3601.9375,4071.39115384615,828.731428571429,559.704117647059,3252.81726027397,0,1507.61,432.4,1934.55416666667,1117.279,0,2020.8925
"Cranial/facial procedures w CC/MCC ",0,0,0,0,0,0,0,0,0,4859.96,0,0,0,0,0,0,0,0,0,0,179.205,0,0,0,0,0,0,0,0,0,0,0,0,11521.4966666667,739.693333333333,0,2133.67,1173.49,0,0,0,0,0,0,0,0,0,1447.30333333333,0,0,0,3713.53,0,0,13655.1666666667
"Cranial/facial procedures w/o CC/ MCC",0,0,0,0,0,0,0,0,0,7328.24666666667,0,0,0,0,0,0,0,0,0,0,557.7175,1986.725,5000,0,0,0,0,0,0,0,0,0,0,17750.4269230769,1112.10086956522,0,2725.5028,469.108333333333,0,0,0,0,2737.09,0,0,0,906.69625,913.1052,0,15942.775,0,3617.53888888889,0,0,20475.9297230769
"Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant",0,0,0,0,0,0,0,0,0,16825.4157692308,0,2624.45,2962.044,0,0,0,0,0,0,0,5310.08346153846,306.068333333333,5026.93,0,0,0,191.1,0,112.46,188,671.368,0,14053.2233333333,14288.8636363636,947.41,0,3106.78416666667,2379.25333333333,0,0,1432.08,2847.05,5664.17130434783,2143.03647058824,1607.95,2273.38266666667,8392.07666666667,11467.0823076923,2613.3,0,0,5432.8524,0,0,17395.6478030303
"Cranio w major dev impl/acute complex CNS PDX w/o MCC",0,0,0,0,0,0,0,0,0,10460.3214285714,0,2304.45,130,0,0,0,0,0,0,0,2536.15375,104.84,3933.12571428571,0,0,0,0,0,0,0,0,0,2683.795,9939.56125,847.78,0,1211.72666666667,579.486,0,0,0,537.18,2378.3825,668.59,537.755,1970.5675,8761.32625,4812.45625,0,0,0,4317.3475,0,0,11151.2879166667
"Craniotomy & endovascular intracranial procedures w CC",0,0,0,0,0,0,0,0,0,7028.55368421053,0,2312.17,3541.42125,0,0,0,0,0,0,0,1525.82961538462,1163.30076923077,5020.15727272727,0,0,0,191.1,0,0,0,841.013333333333,0,5470.855,17578.9396296296,963.0975,0,3312.03444444444,4610.37888888889,1918.46,0,2534.485,0,7371.83666666667,725.33,616.310909090909,546.73,3005.31740740741,3158.83185185185,0,0,0,4550.05333333333,0,0,20890.9740740741
"Craniotomy & endovascular intracranial procedures w MCC",0,0,0,0,0,4126.84,0,545,0,10254.4801515152,190.706666666667,3003.68125,6311.03125,0,0,0,0,0,0,0,2935.30455882353,1051.52463414634,8730.62921052632,0,7667.7,0,382.2,0,0,0,742.648888888889,0,9011.16,18308.7713432836,838.515,0,3547.76630769231,2556.43136363636,0,0,3212.99090909091,1020.64,5155.53476190476,880.085555555556,772.011627906977,1146.52818181818,2110.92823529412,4970.94191176471,4442.24,0,194,3279.71953488372,0,0,21856.5376509759
"Craniotomy & endovascular intracranial procedures w/o CC/ MCC",0,0,0,0,0,0,0,0,0,4044.09195652174,0,0,104,1156.99,0,0,0,0,0,0,823.540952380952,669.649285714286,4317.49416666667,0,0,0,0,0,0,0,0,0,13019.2870588235,13832.7070588235,1025.79727272727,0,2898.61044117647,10118.1,2848.42428571429,0,0,0,673.093333333333,555.9664,586.471904761905,851.735,3787.40647058824,1562.35058823529,0,0,195,4040.29625,141,0,16731.3175
"Craniotomy for multiple significant trauma",0,0,0,0,0,0,0,0,0,23832.1988888889,0,2138.76,5743.66,0,0,0,0,0,0,0,6495.84111111111,481.82,5245.25333333333,0,0,0,169.74,0,0,0,814.13,0,4528.70333333333,17149.76,868.975,0,3043.97625,4495.79111111111,0,0,6459.23833333333,1020.64,6764.3675,1414.00166666667,1414.08333333333,1428.6,4459.82875,11710.7844444444,0,0,0,13050.7677777778,0,0,20193.73625
"D&C, conization, laparascopy & tubal interruption w CC/MCC",0,0,0,0,0,0,0,0,0,8895.28333333333,114.84,2312.17,1972.84,0,0,0,0,0,0,0,3660.22555555556,528.597142857143,6770.71,0,7667.7,0,0,0,0,0,1219.01666666667,0,1355.32333333333,7411.50888888889,1076.9975,0,1036.99111111111,1430.58,36802.446,0,3713.875,935,39292.72,1595,318,0,631.49,3514.94666666667,0,0,0,2985.96833333333,647.28,0,8448.5
"D&C, conization, laparascopy & tubal interruption w/o CC/MCC",0,0,0,0,0,0,0,0,0,4329.55,0,0,0,0,0,0,0,0,0,0,1629.91,136.99,0,0,0,0,0,0,0,0,861.885,0,0,4530.925,865.205,0,573.35,0,0,0,0,0,0,0,0,0,2763.3,807.68,0,0,0,2845.865,0,0,5104.275
"Deep vein thrombophlebitis w CC/ MCC",0,0,0,0,0,0,0,0,0,8941.785,228.64,0,0,0,0,0,0,0,0,0,934.8475,2092.22,0,0,0,0,0,0,0,0,0,0,943.823333333333,2427.1,0,0,961.72,667.625,0,0,0,0,0,0,0,0,0,986.27,0,0,0,3139.29333333333,493.5,0,3388.82
"Degenerative nervous system disorders w MCC",0,0,234,0,10082.43,1951,849.333333333333,0,0,3435.17115384615,0,1824.715,474.161333333333,1801.385,0,0,519,0,1274.04,0,1751.85246153846,1797.12,4923.93142857143,465,5065,0,0,0,243.13,238,662.805714285714,0,9156.5375,1366.9175,511.163333333333,0,728.273333333333,784.069333333333,45057.65,0,5533.8925,440.6,4255.76733333333,6145.6479245283,5547.6752,3276.35214285714,748.176428571429,6125.28322580645,4221.26,0,213,2328.3344,3242.242,0,2095.19083333333
"Degenerative nervous system disorders w/o MCC",0,0,415.8,0,0,1899,980.325,2288.8,0,3078.80910891089,0,2001.61666666667,643.313114754098,1827.255,0,3903,233.1,0,734.048333333333,0,829.440065789474,483.36,4457.9962962963,0,6268.65,0,0,0,322.786666666667,1366.47,608.062,0,920.491052631579,1250.026,0,0,671.558333333333,545.350865384615,0,0,12271.8,427.238333333333,1014.24125,5369.78189781022,5479.45710084034,2392.67949494949,478.50380952381,2380.89342372881,0,0,187.125,1968.69407079646,1743.64166666667,0,1921.58433333333
"Dental & Oral Diseases w CC ",0,0,0,0,0,0,204.5,0,0,3305.75,0,4286.095,0,0,0,0,0,0,0,0,808.839565217391,109.93,2550,0,0,350,0,0,198.5,0,828.68,0,0,2025.19,0,0,0,478.532,1172,0,2047.3,547.333333333333,1440.36,350.34,468.5,708.19,271.315714285714,1260.08125,0,0,110,2443.16772727273,705,0,2025.19
"Dental & Oral Diseases w MCC",0,0,516,0,0,0,342,0,0,3718.058,0,0,461.333333333333,0,0,0,214,0,0,0,2763.35,0,6328,0,1273,0,0,0,435.285,0,1624.66666666667,0,0,3312.66666666667,464,0,435,808.964,0,0,5242.71,919,10153,701.14,771,2781,1311.382,4256.44833333333,0,0,582,1640.2,264,0,3747.66666666667
"Dental & Oral Diseases w/o CC/MCC ",0,0,324,0,0,0,622.5,0,0,2498.66090909091,0,1998,365,0,0,0,365,0,0,0,794.782307692308,0,5000,0,0,0,0,0,330,0,0,0,0,1549.37,890.17,0,349.825,380.775,19681.67,0,0,464.75,477,456,0,880.18,183.0775,783.22125,0,0,0,1517.45461538462,0,0,1899.195
"Depressive neuroses",0,0,0,0,0,1899,622.875,0,0,2593.60909090909,0,2312.17,311.452222222222,0,3794.85666666667,0,0,0,0,0,921.550291262136,136.99,5142.1275,0,0,0,0,178,120.895,0,697.13,0,621.73,2619.49,1677.805,0,733.075,519.441612903226,0,0,0,683.6,444.203571428571,702.455238095238,402.737435897436,632.6025,201.054444444444,1536.20611940298,0,0,482.25,1581.54557692308,5009.375,0,3352.565
"Diabetes w CC",0,0,607.8,0,0,1502.95625,1563.60678571429,604.13,0,2976.67357142857,146,2066.86777777778,245.066310679612,0,0,2925.36,299.467391304348,0,0,466.25,2137.67086580087,190.52,3636.43708333333,0,2343.46833333333,0,0,0,393.886956521739,1271.51,565.396206896552,0,1179.52466666667,1968.36466666667,577.893333333333,0,353.71,485.473586206897,0,0,1052.21,595.507804878049,764.206666666667,593.982295081967,561.912631578947,514.094,617.493142857143,1282.36256302521,0,0,272,2771.27306976744,1434.29384615385,0,2322.07466666667
"Diabetes w MCC",0,0,1048,0,0,1856,2436.8125,0,0,2601.37344827586,0,2185.14333333333,521.859555555556,0,0,235.32,559.9,0,0,0,3236.50597560976,591.106666666667,4609.43857142857,0,4563.995,756,0,0,780.885,0,861.450769230769,0,1130.35285714286,1187.79333333333,0,0,433.58,586.651612903226,71266.04,0,2219.18,733.0432,3014.74,712.634230769231,898.167777777778,917.885,1303.05214285714,1717.72411764706,1576.57888888889,0,220.833333333333,2985.0001369863,176,0,1621.37333333333
"Diabetes w/o CC/MCC ",0,0,399.6,0,0,1899,1251.32379310345,0,0,3259.67285714286,0,2041.35,266.297164179104,0,0,0,249.265625,0,0,184,1898.05077922078,656.425,0,0,2927.6,0,0,0,485.071578947368,1271.51,553.045,0,383.04,1710.96,0,0,866,412.431025641026,0,1320,0,655.506666666667,540.241578947368,642.973076923077,419.5,519.5,375.268181818182,868.130774647887,0,0,151.2,2216.96485507246,1286.71125,0,2576.96
"Digestive malignancy w CC ",0,0,192,0,0,0,546.65,0,0,4813.93393939394,329.916,2533.16666666667,285.263333333333,0,0,4014.39857142857,218.75,454.043333333333,0,0,1687.95574074074,624.781904761905,5820.7325,0,5756.06333333333,180,0,0,1005.5375,0,1062.806,0,1389.2675,4102.73153846154,1049.04916666667,0,1005.62444444444,1299.24413793103,16755.6483333333,0,2513.76846153846,521.11,469.53,654.007857142857,710.377142857143,431.25,1284.5925,2538.6713559322,0,0,945.83625,2119.9623255814,856.855,0,5108.35598290598
"Digestive malignancy w MCC ",0,0,0,0,0,1933.66666666667,735.713333333333,0,0,4953.02761904762,342.44,2312.17,414.385333333333,0,0,1899.27,316,0,0,1068.5,2497.13344827586,334.108888888889,5593.25,0,7173.99,852,0,0,284.37,0,554.385714285714,0,1001.35,3705.49642857143,844.045,0,998.172,1069.57826086957,27979.2866666667,0,3557.84272727273,282.4,1996.08,758.569230769231,628.475,956.105,1117.17095238095,2758.75548387097,0,0,195,2023.03291666667,0,0,4703.66842857143
"Digestive malignancy w/o CC/MCC",0,0,0,0,0,0,571.125,0,0,2937.875,0,0,150.5,0,0,0,268.5,0,639,288.5,1369.236,511.232,0,0,3078,0,0,0,198,0,0,0,0,7107.598,1102.11,0,878.57,854.83,0,0,1305.78,619.375,0,350.34,0,450.75,1862.756,1253.974,0,0,611.5,1483.595,0,0,7986.168
"Disorders of liver except malig,cirr,alchepa w CC ",0,0,408.2,0,0,1935.5,1295.5,0,0,3610.0472972973,367.32,2267.02571428571,375.929523809524,0,0,3161,299.666666666667,0,0,407.333333333333,2341.61083333333,361.065,3922.32,0,2194.07857142857,0,0,0,361.6,0,728.285853658537,0,958.555833333333,2739.96636363636,1308.89,0,1011.695,539.502692307692,0,0,2404.09285714286,514.641052631579,280.738,598.058148148148,898.825,767.2075,384.265555555556,1647.824,0,0,1301.33333333333,1730.77242857143,424.25,0,3751.66136363636
"Disorders of liver except malig,cirr,alchepa w MCC ",0,0,381,0,0,109,835.166666666667,0,0,4884.24304347826,0,2170.58666666667,470.088421052632,0,0,0,558,0,0,0,3342.46642857143,149.98,3735.8825,0,1611.6,0,0,0,287.23,0,725.023529411765,0,1183.49833333333,2821.30363636364,0,0,342.3,813.828571428571,0,0,1932.95666666667,411.175,1653.91466666667,903.883571428571,747.19,808.302,777.35875,4406.25097560976,1933.46,0,216.5,2896.8209375,1964.515,0,3163.60363636364
"Disorders of liver except malig,cirr,alchepa w/o CC/MCC ",0,0,706.5,0,0,0,746,0,0,5383.57923076923,0,1929.54,173.9,0,0,0,356,0,0,682,1841.8237037037,537.23,3310.376,0,1941.03,0,0,0,0,0,834.800909090909,0,1006.675,2995.81,1773.01,0,0,336.072,0,0,846.85,270.45,305.16,464.84,468.5,0,979.465,988.101428571429,0,0,102,2277.75380952381,937.2,0,2995.81
"Disorders of pancreas except malignancy w CC",0,0,502.395833333333,0,8387.29,1951,1493.56428571429,0,0,3638.40773584906,456.24,2304.838,300.604631578947,0,0,2842.48285714286,365.944444444444,194.59,0,214.375,1670.38796153846,405.24,3035.38611111111,0,2869.4825,0,0,0,401.057837837838,238,680.743223140496,0,866.473333333333,4366.86863636364,1225.36333333333,0,859.717142857143,655.323050847458,0,660,2165.526,595.083106796116,754.423720930233,559.248888888889,486.5825,963.205,735.3192,1250.88972972973,0,0,341.363636363636,1953.12882113821,1440.644,0,5226.58577922078
"Disorders of pancreas except malignancy w MCC",0,0,991.5625,0,0,2240.5,2006.9725,0,0,4081.10730769231,456.76,1980.8,295.167941176471,0,0,6183.445,685.95,0,0,373.5,3801.45540540541,753.825,3283.60733333333,0,2209.215,0,0,0,1449.46214285714,1140.86,873.752352941176,0,1006.15571428571,6150.65,1100.535,0,1352.804,1071.735,0,0,1759.03857142857,549,4208.67964285714,852.426296296296,669.714285714286,858.878571428571,1758.484,3036.20189189189,8599.03666666667,0,585.9,2100.95425925926,1184.55,0,7503.454
"Disorders of pancreas except malignancy w/o CC/MCC",0,0,408.375,0,0,0,996.870689655172,0,0,3507.42415841584,285.54,1771.326,280.860845070423,0,0,3903,350.444444444444,194.59,0,302,1155.474,348.3175,3250.09714285714,0,2434.49571428571,0,0,0,333.903333333333,1055.295,716.190582524272,0,0,7387.376,473.5,0,1019.29333333333,593.335,0,0,1174,735.433220338983,571.276666666667,443.96875,393.5,0,565.425217391304,802.963519553073,0,0,209.333333333333,1903.71410810811,638.94375,0,8406.66933333333
"Disorders of personality & impulse control",0,0,0,0,0,1899,0,0,0,2324.2,0,0,423.72,0,0,0,0,0,0,0,1059.89951612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.628333333333,0,0,1334.7,309.5,509.11,322.18,474.97,0,611.483333333333,2398.308125,0,0,0,1342.80391304348,0,0,0
"Disorders of the biliary tract w CC",0,0,496.875,0,10082.43,1899,1327.72916666667,288,0,3457.2072,457.28,2081.32333333333,420.698285714286,0,0,8207.98,359.272727272727,0,0,692.25,1526.89053333333,744.2375,2962.92529411765,0,3214.04444444444,0,0,0,423.6,238,760.3506,0,1141,7267.53347826087,1003.83181818182,0,900.759230769231,809.6075,4540,0,816.644,944.1996875,226.05875,530.142352941176,865.52,332.76,1331.30483870968,1461.05371794872,0,3337.09,646.75,1824.57567164179,1176.77142857143,0,8168.2927090301
"Disorders of the biliary tract w MCC",0,0,209,0,0,0,675.956,0,0,3457.63526315789,0,1725.085,354.987391304348,0,0,5229.05,388.666666666667,0,0,0,2227.089,272.2675,3337.185,0,3659.79,0,0,0,544.60125,476,674.259375,0,0,7109.17,1115.94571428571,0,695.314444444444,1060.00296296296,0,0,1604.468,617.311,2875.10785714286,826.079333333333,479.28,629,1667.49083333333,1474.3358974359,3205.94,0,0,1909.69333333333,4219.5,0,7804.48444444444
"Disorders of the biliary tract w/o CC/ MCC",0,0,0,0,0,1951,870.4375,0,0,3182.10590909091,114.84,0,243.918333333333,0,0,4674.48,269.5,0,0,0,931.490675675676,196.792,3226.55631578947,0,1995.14714285714,0,0,0,387.8325,0,720.573255813953,0,783.335,7935.01772727273,1357.24916666667,0,899.910666666667,873.527027027027,4157.5,330,1356,796.330666666667,121,960.176666666667,468.5,0,1320.2916,742.301746031746,0,0,165.666666666667,1801.74054545455,1060.27666666667,0,8834.92839393939
"Dysequilibrium ",0,0,428.916666666667,0,0,0,1207.35,0,0,3087.98609756098,0,1909.06,251.53925,0,0,2802,288.46875,0,0,906,774.73779661017,810.72,4748.978125,0,0,0,0,0,364.5,0,234.14,0,911.813333333333,1825,1912,0,1212,397.606,0,0,974.5,436.318666666667,300.475,631.594528301887,427.758571428571,581.72,621.633125,676.452222222222,0,0,151.666666666667,1676.49181818182,1136.152,0,3037
"Ear, nose, mouth & throat malignancy w CC",0,0,516,0,0,0,421,0,0,4942.135,0,0,150.5,0,0,0,246,0,0,283,471.43,142.47,0,0,0,0,0,0,0,0,0,0,0,3175.025,890.17,0,704.55,348.82,24001.71,0,0,375,140.17,0,0,495.83,615.09,1326.178,0,0,0,2267.38666666667,0,0,3879.575
"Ear, nose, mouth & throat malignancy w MCC",0,0,0,0,0,0,0,0,0,3575.845,0,0,315,0,0,1373.5,0,0,0,0,1233.1025,405.36,0,0,0,0,0,0,0,0,0,0,0,0,885,0,606,703.17,36459,330,0,0,638.125,2527,1224,1101,713.9425,4271.2675,0,0,245,1126.98666666667,0,0,606
"Ectopic pregnancy ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171.22666666667,182.753333333333,0,0,0,0,0,0,0,0,1280.01,0,944.94,9412.19,1135.31,0,1538.94666666667,0,0,0,1551.9,491,0,0,0,0,179.975,857.663333333333,0,0,0,2514.06666666667,211.5,0,10951.1366666667
"Endocrine disorders w CC",0,0,501,0,0,1951,1028.66666666667,0,0,3401.13210526316,0,2127.04,425.454,0,0,0,0,0,0,0,1680.38930232558,953.66,4244.16833333333,0,0,0,0,0,598.8425,0,832.71,0,849.035,0,0,0,0,571.80052631579,0,0,1039.4,766.5,608.018571428571,602.873684210526,787.905714285714,0,447.372307692308,1448.85829268293,0,0,173.5,2703.90527777778,1232.25,0,0
"Endocrine disorders w MCC ",0,0,980,0,0,1951,3430.41666666667,0,0,3755.6895,0,3044.64,1023.89611111111,3127.81,0,0,677,0,0,1538,3158.93785714286,547.28,5143.92625,0,0,0,0,0,437.5,0,855.39,0,1052.025,2820.196,0,0,399.35,638.88,19681.67,0,1521.04666666667,393.715555555556,2919.63285714286,1086.79666666667,585.384444444444,1094.07833333333,590.659285714286,2242.50655172414,0,0,546,2012.366,3513.25,0,3219.546
"Endocrine disorders w/o CC/MCC",0,0,282,0,0,0,1419.5,0,0,1426.006,0,0,392.450833333333,0,0,0,229.666666666667,0,0,0,1741.614375,0,0,0,0,0,0,0,188.23,0,716.48,0,0,0,0,0,0,496.605,0,0,0,592.9,0,520.79125,642.5,450.75,178.685,560.895333333333,0,0,101,1719.59944444444,747.666666666667,0,0
"Epistaxis w MCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.625,0,0,0,0,0,0,0,234.14,0,0,0,0,0,0,0,0,0,0,0,1039.4,0,325,226,318,0,2442.26,884.51,0,0,0,2886.81,0,0,0
